id,episode,scene,characters,dialogue
374,2,52,"Miki Koishikawa","No te preocupes, ¡gracias!"
375,2,52,"Ginta Suou","¡Hasta luego!"
376,2,53,"Miki Koishikawa","¿Ginta, cómo puedo explicártelo?"
377,2,53,"Miki Koishikawa","No guarde el secreto, pero me vi forzada a hacerlo"
378,2,53,"Miki Koishikawa","Pero, sin embargo, tú"
379,2,54,"Ginta's friend","Mira aquí pone que estoy muy enamorada de ti desde hace tiempo ¿que vas a hacer Ginta?"
380,2,54,"Ginta's friend","Me parece a mí que a ti no te gusta mucho esta chica verdad"
381,2,54,"Ginta Suou","No, La verdad es que no, aunque nos llevamos muy bien y hablamos mucho, pero la prefiero como amiga"
382,2,55,"Ginta Suou",¡Miki!
383,2,55,"Ginta Suou","Un momento, ¡espera!"
384,2,56,"Miki Koishikawa","La prefiero como amiga"
385,2,56,"Miki Koishikawa","No puedo creer lo que ha dicho"
386,2,56,"Miki Koishikawa","No debí enseñar mi carta a nadie, todos se rieron de mi"
387,2,56,"Miki Koishikawa","¡Ginta, idiota!"
388,2,57,"Miki Koishikawa","Al día siguiente, Ginta apareció en clase con el pelo rapado, seguro que lo hizo para disculparse por la ofensa"
389,2,57,"Miki Koishikawa","Que recuerdos"
390,2,57,"Miki Koishikawa","Ha pasado tanto tiempo"
391,2,57,"Miki Koishikawa","Después de aquello no volví a hablar con él"
392,2,57,"Miki Koishikawa","Hace poco nos hemos vuelto a hacer amigos"
393,2,57,"Miki Koishikawa","Así que no hay motivo para que esté celoso de Yuu"
394,2,58,"Chiyako Koishikawa",¿Miki?
395,2,58,"Miki Koishikawa",¿Si?
396,2,58,"Chiyako Koishikawa","¿Quieres bajar al comedor? Hemos comprado unos pasteles buenísimos"
397,2,58,"Chiyako Koishikawa","¿Estabas estudiando?"
398,2,58,"Chiyako Koishikawa","Si no entiendes algo, Youji puede ayudarte, porque no bajas y estudias con él"
399,2,58,"Miki Koishikawa","Si, ahora bajo"
400,2,58,"Chiyako Koishikawa","Vamos date prisa, Rumi y Jin te están esperando"
401,2,59,"Yuu Matsuura","Cuidado a la derecha, a la derecha"
402,2,59,"Yuu Matsuura","Hombre a la derecha"
403,2,59,"Yuu Matsuura","Jin, Qué malo eres"
404,2,59,"Youji Matsuura","¿Lo entiendes ahora?"
405,2,59,"Miki Koishikawa","Pues sí"
406,2,59,"Rumi Matsuura","¿A que Youji es un buen maestro?"
407,2,59,"Miki Koishikawa","Vaya eres muy bueno explicando las cosas, gracias a ti lo he entendido"
408,2,59,"Yuu Matsuura","¿Son los ejercicios de ayer?"
409,2,59,"Miki Koishikawa",Si
410,2,59,"Yuu Matsuura","¡Qué bien! Luego me los dejas copiar"
411,2,59,"Miki Koishikawa","De eso nada"
412,2,59,"Yuu Matsuura","Anda porfa"
413,2,59,"Youji Matsuura","Yuu, yo te lo explicaré"
414,2,59,"Jin Koishikawa","No te vayas, ayúdame aún quedan muchas naves"
415,2,59,"Yuu Matsuura","Jin, Déjalo ya, no sigas intentándolo"
416,2,59,"Jin Koishikawa","Vamos, échame una mano"
417,2,59,"Miki Koishikawa","Menos mal que se te da mejor trabajar que matar marcianos"
418,2,59,"Chiyako Koishikawa","¿Ya te vas?"
419,2,59,"Miki Koishikawa","Muchas gracias por tu ayuda no te preocupes ya puedo terminar los ejercicios yo sola"
420,2,59,"Chiyako Koishikawa","Miki, ¿no quieres otra taza de té? "
421,2,59,"Miki Koishikawa","No me apetece, gracias por todo"
422,2,60,"Miki Koishikawa","No está bien lo que hago"
423,2,60,"Miki Koishikawa","No debería mostrarme feliz"
424,2,60,"Miki Koishikawa","Me prometí a mi misma comportarme fríamente delante de todos"
425,2,60,"Miki Koishikawa","La verdad, es que cada vez me gusta más vivir en esta casa y eso no está bien"
426,2,60,"Miki Koishikawa","Me mantendré al margen de todo lo que pasa en esta familia"
427,2,61,"Miki Koishikawa","¡Hasta luego!"
428,2,61,"Rumi Matsuura","¿Pero como ya te vas?"
429,2,61,"Miki Koishikawa","Tengo cosas que hacer "
430,2,61,"Rumi Matsuura","Te entiendo"
431,2,61,"Rumi Matsuura","¿Volverás pronto para la cena? es que hoy me apetece guisar"
432,2,61,"Rumi Matsuura","Voy a demostraros mis dotes culinarias"
433,2,61,"Miki Koishikawa","Pues más vale que no lo hagas no tienes mucho tiempo y tampoco cocinas demasiado bien"
434,2,61,"Miki Koishikawa","Más vale que hagas algo sencillo"
435,2,61,"Miki Koishikawa","Bueno, hasta luego"
436,2,62,"Miki's friend","Caray Miki, cada vez eres mejor jugando al tenis"
437,2,62,"Miki Koishikawa","¿Lo dices en serio?"
438,2,62,"Miki's friend","Pues claro que sí, tú saques son fenomenales muy potentes, ¿te pareces a Gabriela Sabatini sabes?"
439,2,62,"Miki Koishikawa","¡Exagerada eres!"
440,2,62,"Miki Koishikawa","Después de todo lo que me ha ocurrido me apetecía pegarle muy fuerte a la pelota"
441,2,63,"Yuu Matsuura",Miki
442,2,63,"Miki Koishikawa",Yuu
443,2,63,"Yuu Matsuura","Oye, voy a ir de compras, ¿te importaría venir conmigo?"
444,2,63,"Miki Koishikawa",¿Qué?
445,2,63,"Yuu Matsuura","Por favor"
446,2,63,"Miki Koishikawa","Yo es que estoy con mis amigas, no creo que "
447,2,63,"Yuu Matsuura","Seguro que no les importa"
448,2,64,"Miki Koishikawa","¿Un regalo de cumpleaños?"
449,2,64,"Yuu Matsuura","Claro, ¿No es el cumpleaños de Rumi?"
450,2,64,"Miki Koishikawa","Es verdad, se me había olvidado"
451,2,64,"Miki Koishikawa","Ahora lo entiendo"
452,2,64,"Yuu Matsuura","Como no sé muy bien lo que puede gustarle, he pensado que podías elegirlo tú"
453,2,64,"Yuu Matsuura","Oye Miki entiendo cómo te sientes pero..."
454,2,64,"Yuu Matsuura","Ya que vivimos en la misma casa sería bonito celebrar su cumpleaños todos juntos, ¿no crees?"
455,2,64,"Miki Koishikawa","Yuu, Nunca había esperado nada parecido a de ti"
456,2,65,"Miki Koishikawa","¡Mamá parecía tan feliz!"
457,2,65,"Miki Koishikawa","Esto debe ser de Yuu"
458,2,65,"Miki Koishikawa","Probablemente haya llegado hasta aquí con el día de la mudanza"
459,3,66,"Meiko Akizuki","Solo es una foto con su chica"
460,3,66,"Meiko Akizuki","Lo raro sería que no tuviese novia"
461,3,66,"Meiko Akizuki","Pero oye"
462,3,66,"Meiko Akizuki","Te veo muy preocupada"
463,3,66,"Meiko Akizuki","Eso quiere decir que estás"
464,3,66,"Meiko Akizuki",Enamorada
465,3,67,"Miki Koishikawa","¡No, no lo estoy!"
466,3,67,"Miki Koishikawa","Yuu a veces es muy simpático y parece un buen chico, pero"
467,3,67,"Miki Koishikawa","Nada de eso"
468,3,67,"Miki Koishikawa","Maldita sea, otra vez ella, recuérdame que no te importa"
469,3,68,Namura,"Buena puerta en ese saque"
470,3,68,"Miki Koishikawa","¿Qué? ¿A si?"
471,3,68,Namura,"Pero tienes que controlarlo un poco más"
472,3,68,Namura,"Ahora tienes que pensar en el efecto que quieres darle a la pelota"
473,3,68,"Miki Koishikawa",Vale
474,3,69,Namura,"Estas chicas mejoran día a día"
475,3,69,"Ryoko Momoi","Tienen un buen entrenador"
476,3,69,Namura,"¡No es para tanto!"
477,3,70,"Miki Koishikawa","La verdad es qué hacen tan buena pareja"
478,3,71,"Miki Koishikawa","No, no"
479,3,72,"Miki Koishikawa",Yuu
480,3,72,"Miki Koishikawa","Qué haces tú por aquí pensaba que estabas estudiando"
481,3,72,"Yuu Matsuura","Sí, pero es que quería ver cómo entrenabas"
482,3,72,"Yuu Matsuura","Que tonta, ¿te lo has creído? Era una broma"
483,3,73,"Miki Koishikawa","Ya está metiéndose conmigo"
484,3,73,"Miki Koishikawa","¿A qué habrá venido? Siempre me está haciendo de rabiar"
485,3,74,"Satoshi Miwa","¿Está ocupada la silla?"
486,3,74,"Yuu Matsuura","No, puedes sentarte"
487,3,74,"Yuu Matsuura","Pero la biblioteca está vacía, y ahí hay un montón de sitios"
488,3,74,"Yuu Matsuura","¿Pero a ti qué te pasa?"
489,3,74,"Satoshi Miwa","Bueno, no pasa nada, es que tengo cierto interés por mí"
490,3,74,"Yuu Matsuura","No es por nada, pero no me gusta que los chicos se interesen por mí"
491,3,74,"Satoshi Miwa","Lo comprendo"
492,3,74,"Yuu Matsuura","Este tío es muy raro, yo me largo"
493,3,74,"Satoshi Miwa","¿Espera ya te vas?, yo tengo ese libro en casa, las obras completas de Antonio Gaudí"
494,3,74,"Satoshi Miwa","¿Quieres venir a verlo a mi casa?"
495,3,74,"Yuu Matsuura","No, no, gracias, puedo leerlo en la biblioteca"
496,3,74,"Yuu Matsuura","Me voy que tengo prisa, hasta luego"
497,3,75,"Satoshi Miwa","Está huyendo de mí"
498,3,75,"Satoshi Miwa","No tiene ni idea, lástima"
499,3,76,"Meiko Akizuki",¡Ah!
500,3,76,"Yuu Matsuura",Perdona
501,3,76,"Meiko Akizuki","Pero Yuu"
502,3,76,"Yuu Matsuura","Lo siento Meiko"
503,3,76,"Meiko Akizuki","Pero qué te pasa que tienes tanta prisa"
504,3,76,"Yuu Matsuura","Nada, no es nada"
505,3,76,"Meiko Akizuki","No esperaba verte aquí, ha sido una buena sorpresa, no suele venir nadie a la biblioteca"
506,3,76,"Yuu Matsuura","Eso parece"
507,3,76,"Yuu Matsuura","Sin embargo, a mí me gusta"
508,3,76,"Yuu Matsuura","Me gustan los edificios antiguos"
509,3,76,"Meiko Akizuki","A mí también me encanta este sitio"
510,3,76,"Meiko Akizuki","Es tan majestuoso y tan tranquilo"
511,3,76,"Yuu Matsuura","Tú estás en el club de literatura ¿verdad?"
512,3,76,"Yuu Matsuura","¿Te gusta escribir novelas?"
513,3,76,"Meiko Akizuki","Yo no escribo"
514,3,76,"Meiko Akizuki","Simplemente me encanta leer"
515,3,76,"Meiko Akizuki","A veces hago estudios acerca de mis escritores favoritos y resumo sus obras"
516,3,76,"Yuu Matsuura","Vaya qué bien"
517,3,76,"Yuu Matsuura","¿Haces críticas?"
518,3,76,"Meiko Akizuki","No son nada del otro mundo, solo comentarios personales"
519,3,76,"Yuu Matsuura","Me encantaría leerlos algún día"
520,3,76,"Meiko Akizuki","¡Pues claro!"
521,3,76,"Meiko Akizuki","Gracias por tu ayuda, nuestro club necesita aportaciones, si quieres también tenemos números antiguos"
522,3,77,"Ryoko Momoi","Bueno, ya está bien por hoy chicas"
523,3,78,"Meiko Akizuki","¿Te vienes?"
524,3,78,"Miki Koishikawa","¿De verdad? Así que vistes a Yuu en la biblioteca"
525,3,78,"Miki Koishikawa","¿Por qué habrá ido allí?"
526,3,78,"Meiko Akizuki","Bueno, qué tal por tu casa, ¿ya os lleváis todos bien?"
527,3,78,"Miki Koishikawa","Sí, vamos conociéndonos"
528,3,78,"Meiko Akizuki","¿Has descubierto algo acerca de aquella foto?"
529,3,78,"Miki Koishikawa","Es que me da igual la foto esa, ya sabes"
530,3,78,"Meiko Akizuki","¿Ah sí?"
531,3,78,"Miki Koishikawa","Yuu es uno más de mi nueva familia"
532,3,78,"Miki Koishikawa","Me importa un pimiento si tiene novia o no"
533,3,78,"Miki Koishikawa","De todos modos no parece que tenga novia menos que la vea cuando va a su trabajo"
534,3,78,"Meiko Akizuki","Parece que si te importa"
535,3,78,"Miki Koishikawa","Que va para nada, pero"
536,3,78,"Miki Koishikawa","A veces me confunde"
537,3,78,"Miki Koishikawa","Esta lleno de misterios"
538,3,79,"Miki Koishikawa","Me he dado cuenta de que Yuu y Meiko tienen un aire similar"
539,3,79,"Miki Koishikawa","Los dos esconden sus sentimientos tras una sonrisa"
540,3,79,"Miki Koishikawa","Meiko es amiga mía desde que estábamos en séptimo, pero"
541,3,79,"Miki Koishikawa","Aún sigue siendo un enigma para mí"
542,3,80,"Yuu Matsuura","¿Es el nuevo parque de atracciones que han abierto?"
543,3,80,"Chiyako Koishikawa","El restaurante de allí pertenece a nuestra compañía"
544,3,80,"Chiyako Koishikawa","¿Y tengo un par de entradas, queréis ir?"
545,3,80,"Miki Koishikawa","Claro, me encantaría"
546,3,80,"Miki Koishikawa","Tienen unos juegos de simulación que son la bomba"
547,3,80,"Yuu Matsuura","Suena divertido, si"
548,3,80,"Yuu Matsuura","¿Tienes que ir al club de tenis el domingo?"
549,3,80,"Miki Koishikawa",No
550,3,80,"Yuu Matsuura","¿Entonces te vienes?"
551,3,80,"Yuu Matsuura","¿Tienes planes verdad?"
552,3,80,"Yuu Matsuura","Pues entonces ya está"
553,3,81,"Miki Koishikawa","Iremos los dos solos, es como si saliéramos los dos juntos"
554,3,82,"Miki Koishikawa","Maldita sea, no doy ni una"
555,3,82,"Yuu Matsuura",Atenta
556,3,82,"Yuu Matsuura","¡Un cuatro! ¡Qué mala eres!"
557,3,82,"Miki Koishikawa","Callate, ¿tú que has sacado?"
558,3,82,"Yuu Matsuura","Pues un 10, chavala"
559,3,83,"Miki Koishikawa","Mira que monada"
560,3,83,"Yuu Matsuura","¿Cuál, ese bicho?"
561,3,83,"Miki Koishikawa","Me encanta, ¿es una preciosidad, no crees?"
562,3,83,"Yuu Matsuura","Pues muy bien, te lo conseguiré, espera"
563,3,83,"Yuu Matsuura","Ahora verás, esto se me da muy bien, vamos"
564,3,83,"Miki Koishikawa","Ojalá fuera siempre tan dulce conmigo"
565,3,83,"Yuu Matsuura","Ya lo tengo"
566,3,83,"Yuu Matsuura","¿Era este no?"
567,3,83,"Miki Koishikawa","Este no era"
568,3,83,"Yuu Matsuura","Me habías dicho que te encantaba"
569,3,83,"Miki Koishikawa","Este no es"
570,3,83,"Miki Koishikawa","El que yo decía era el osito, ese osito"
571,3,83,"Yuu Matsuura","¡Maldita sea, podías haberlo dicho antes!"
572,3,83,"Miki Koishikawa","¡Pero si te lo dije!"
573,3,83,"Miki Koishikawa","Este también es mono si se le mira bien"
574,3,83,"Miki Koishikawa","Y voy a llamarle Cachán"
575,3,84,"Arimi Suzuki","Cuánto tiempo ha pasado, Yuu"
576,3,84,"Yuu Matsuura",Arimi
577,3,85,"Miki Koishikawa","¡Qué guay!"
578,3,85,"Miki Koishikawa","¡Eh, Yuu!"
579,3,85,"Miki Koishikawa","¿Habrá ido por otro pasillo?"
580,3,85,"Miki Koishikawa","Bueno da igual"
581,3,86,"Arimi Suzuki","Ha sido toda una sorpresa verte en un sitio como este"
582,3,86,"Yuu Matsuura",Ya
583,3,87,"Miki Koishikawa",Tampoco
584,3,87,"Miki Koishikawa","¿Por dónde se irá?"
585,3,88,"Arimi Suzuki","Esto me recuerda que el último sitio que fuimos juntos también era un parque de atracciones"
586,3,89,"Miki Koishikawa","Será por aquí"
587,3,89,"Miki Koishikawa","Qué mal rato"
588,3,89,"Miki Koishikawa","¿Dónde se ha metido?"
589,3,90,"Yuu Matsuura","Miki estoy aquí"
590,3,90,"Yuu Matsuura","Te presento a Arimi Suzuki, éramos compañeros de clase en el colegio"
591,3,90,"Yuu Matsuura","Miki es la compañera de piso de la que tanto te he hablado"
592,3,90,"Arimi Suzuki",Encantada
593,3,90,"Miki Koishikawa","Hola Arimi"
594,3,91,"Miki Koishikawa","Es todavía más guapa que en la foto"
595,3,92,"Arimi Suzuki","Bueno me voy, ¿pero me das tu teléfono y tu nueva dirección?"
596,3,93,"Miki Koishikawa","Yo paso de ellos"
597,3,93,"Miki Koishikawa","Pero porque están tan cerca el uno del otro, ¿por qué se agarra así?"
598,3,94,"Arimi's boyfriend","Arimi, date prisa"
599,3,94,"Arimi Suzuki","Sí, ya voy"
600,3,95,"Yuu Matsuura","Vaya, ¿Tienes novio? Pues eso está bien"
601,3,95,"Arimi Suzuki","Es un pesado, no me deja en paz"
602,3,95,"Arimi Suzuki","Solo salgo con él de vez en cuando"
603,3,95,"Arimi Suzuki","Pienso librarme pronto de él"
604,3,95,"Arimi Suzuki","Para mí tú vales mucho más"
605,3,96,"Miki Koishikawa","¿Pero qué hace?"
606,3,97,"Arimi Suzuki","En fin ya te llamaré"
607,3,98,"Yuu Matsuura","Vaya, Arimi no ha cambiado nada"
608,3,99,"Miki Koishikawa","Tendrá cara la tía"
609,3,100,"Miki Koishikawa","¿Quién es? Ha dicho que tú vales mucho más"
610,3,100,"Yuu Matsuura","Salíamos juntos en la escuela primaria"
611,3,100,"Miki Koishikawa","Ay, dios mío, creo que me voy a morir"
612,3,100,"Yuu Matsuura","Solo durante tres meses"
613,3,100,"Yuu Matsuura","Pero la verdad es que en tan poco tiempo lo hicimos todo"
614,3,100,"Miki Koishikawa","¿Qué? ¿Me dices que hicisteis todo?"
615,3,100,"Yuu Matsuura",Si
616,3,100,"Yuu Matsuura","Celebrar la Navidad"
617,3,100,"Yuu Matsuura","Año nuevo"
618,3,100,"Yuu Matsuura","San Valentín"
619,3,100,"Yuu Matsuura","Todas esas fiestas cuando se tiene pareja"
620,3,100,"Miki Koishikawa","Ay, claro te referías a eso"
621,3,100,"Yuu Matsuura","A que otra cosa podía referirme, ¿en qué estabas pensando?"
622,3,100,"Miki Koishikawa","¿Yo? ¡En nada!"
623,3,100,"Yuu Matsuura","¡Qué mente más calenturienta!"
624,3,100,"Miki Koishikawa","¡Que no pensaba nada!"
625,3,100,"Yuu Matsuura","¿Te gustaría saber hasta donde llegamos físicamente?"
626,3,100,"Miki Koishikawa","Que chorrada"
627,3,100,"Yuu Matsuura","Tranquila, no hicimos nada"
628,3,100,"Miki Koishikawa","No me lo creo"
629,3,100,"Yuu Matsuura","Lo digo en serio"
630,3,100,"Yuu Matsuura","¿Mi primer beso ha sido contigo, sabes Miki?"
631,3,100,"Yuu Matsuura","Estabas despierta esa mañana verdad"
632,3,100,"Miki Koishikawa","¿Tú lo sabías?"
633,3,100,"Yuu Matsuura",No
634,3,100,"Yuu Matsuura","Lo adivine por tu reacción"
635,3,100,"Yuu Matsuura","Al principio pensé que estabas dormida"
636,3,100,"Miki Koishikawa","¿Y puedo saber por qué lo hiciste?"
637,3,100,"Yuu Matsuura","No sé cómo, pero me dio por ahí"
638,3,100,"Yuu Matsuura","¡Era broma, era broma, boba!"
639,3,100,"Yuu Matsuura","Lo hice porque me gustas"
640,3,100,"Miki Koishikawa","¡No juegues conmigo!"
641,3,100,"Miki Koishikawa","Tú siempre me estás tomando el pelo"
642,3,100,"Miki Koishikawa","Y no eres capaz de hablarme en serio nunca"
643,3,100,"Yuu Matsuura","Oye Miki"
644,3,100,"Miki Koishikawa","Te has pasado de la raya, adiós"
645,3,101,"Yuu Matsuura","Ya se ha vuelto a enfadar"
646,3,102,"Meiko Akizuki","Buenos días, Ginta"
647,3,102,"Ginta Suou",Hola
648,3,102,"Meiko Akizuki","¿Eres el delegado esta semana?"
649,3,102,"Ginta Suou",Si
650,3,103,"Miki's friends","¿Qué Miki y Yuu están saliendo?"
651,3,103,"Miki's friends","Si, Les vi el otro día en el parque de atracciones"
652,3,103,"Miki's friends","Vaya, ya me imaginaba yo algo parecido menudo notición"
653,3,104,"Ginta Suou","Oh no Miki, viendo cómo es tu familia "
654,3,104,"Ginta Suou","¿Como te puede gustar un tío como ese?"
655,3,104,"Meiko Akizuki","Oye Ginta, no tienes ningún derecho a decir esas cosas"
656,3,104,"Ginta Suou",¿Qué?
657,3,104,"Meiko Akizuki","Después de lo que hiciste, Miki no ha vuelto a salir con ningún chico"
658,3,104,"Meiko Akizuki","Y que sepas que Yuu es mucho más serio de lo que parece"
659,3,104,"Meiko Akizuki","Es mi amiga y quiero verla feliz"
660,3,104,"Meiko Akizuki","Que disfrute de lo bueno de la vida y que se enamore"
661,3,104,"Meiko Akizuki","Así que no estropees su felicidad ¿entendido? Tú no tienes derecho a hacerlo, tú menos que nadie"
662,3,105,"Miki Koishikawa","Ginta, ¿Has cerrado ya todas las ventanas?"
663,3,105,"Ginta Suou",Si
664,3,105,"Miki Koishikawa","Bueno, tenemos que hacer el parte"
665,3,105,"Ginta Suou","Odió estas tareas semanales"
666,3,105,"Miki Koishikawa","Pues no hay más remedio que hacerlas"
667,3,105,"Miki Koishikawa","A ver, ¿quién ha faltado?"
668,3,105,"Miki Koishikawa","Solo Suzuki"
669,3,106,"Miki Koishikawa","Arimi Suzuki, ayer llamo a casa"
670,3,106,"Miki Koishikawa","Quiere volver con Yuu"
671,3,106,"Miki Koishikawa","¿Por qué rompió con ella?"
672,3,106,"Miki Koishikawa","¿Por una pelea?"
673,3,106,"Miki Koishikawa","¿O dejaron de salir sin más?"
674,3,107,"Ginta Suou","Miki, ¿qué te pasa? Menuda cara se te ha puesto"
675,3,107,"Miki Koishikawa","Ah, perdona"
676,3,107,"Miki Koishikawa","Seguiremos con el parte de hoy"
677,3,107,"Miki Koishikawa","No se me ocurre nada más que poner"
678,3,107,"Ginta Suou","¿Oye que tienes en la boca?"
679,3,107,"Miki Koishikawa","Es un caramelo nuevo, ¿quieres uno?"
680,3,107,"Ginta Suou","Estos son los que anuncian en la televisión ¿verdad?"
681,3,107,"Miki Koishikawa","Así es, es el anuncio que más me mola"
682,3,107,"Ginta Suou","El sabor de un beso"
683,3,107,"Ginta Suou","¿Será verdad?"
684,3,107,"Miki Koishikawa","No lo sé, La verdad es que nada sabe igual"
685,3,107,"Ginta Suou","¿Te gustaría probar?"
686,3,108,"Miki Koishikawa","¡Ya te conozco, me quieres tomarme el pelo!"
687,3,108,"Ginta Suou","¡Menuda broma te he gastado, estás muerta de miedo!"
688,3,108,"Ginta Suou","¡Eres tonta!"
689,3,108,"Miki Koishikawa","Ya sé lo que pretende, esta vez le voy a seguir la broma"
690,3,109,"Miki Koishikawa","Vale, cuando tú quieras"
691,3,109,"Ginta Suou","Que no bobo, que era una broma, de verdad te lo has creído"
692,3,109,"Miki Koishikawa","¿!Pero que te has creído?!"
693,3,109,"Ginta Suou","¡Pero Miki me dijiste que sí!"
694,3,109,"Miki Koishikawa","No lo decía en serio, imbécil"
695,3,109,"Miki Koishikawa","¡Eres un idiota!"
696,3,110,"Miki Koishikawa","¡Me ha besado!"
697,3,110,"Miki Koishikawa","No me lo puedo creer"
698,3,110,"Miki Koishikawa","¡¿Quien se habrá creído que es?!"
699,3,110,"Miki Koishikawa","¡¿No sabe lo que es el respeto?!"
700,4,111,"Miki Koishikawa","No puedo dejar de pensar en ese beso"
701,4,111,"Miki Koishikawa","Los besos son para los enamorados"
702,4,111,"Miki Koishikawa","Y, sin embargo, Ginta no siente nada por mí"
703,4,111,"Miki Koishikawa","No puede ser, se ha reído de mí"
704,4,111,"Miki Koishikawa","No lo permitiré, Ginta te arrepentirás"
705,4,112,"Jin Koishikawa","Chicas, me voy ya"
706,4,112,"Rumi Matsuura","Espera, espera"
707,4,112,"Chiyako Koishikawa","Yuu, Miki, venga levantaos"
708,4,113,"Yuu Matsuura","Sino recuerdo mal, Miki esta de delegada"
709,4,114,"Yuu Matsuura","Oye Miki, esta semana eres delegada, vas a llegar tarde"
710,4,114,"Miki Koishikawa","¡Ya lo sé, déjame en paz!"
711,4,114,"Miki Koishikawa","No tengo ningunas ganas de encontrarme a Ginta, prefiero llegar tarde"
712,4,114,"Miki Koishikawa","Me da igual"
713,4,114,"Miki Koishikawa","¿Pero qué estás haciendo? Dime"
714,4,114,"Yuu Matsuura","Ya veo que no estás enferma, vístete nos vamos"
715,4,114,"Yuu Matsuura","Te espero en cinco minutos"
716,4,114,"Miki Koishikawa","¿Quién te has creído que eres?"
717,4,115,"Ginta Suou","A lo mejor no viene"
718,4,115,"Ginta Suou","Oh, Miki"
719,4,116,"Meiko Akizuki",Ginta
720,4,116,"Meiko Akizuki","Buenos días"
721,4,116,"Ginta Suou",Hola
722,4,116,"Meiko Akizuki","¿Y Miki?"
723,4,116,"Ginta Suou","No sé no ha vuelto todavía"
724,4,116,"Meiko Akizuki","Vaya sí que es raro"
725,4,117,"Miki Koishikawa","Yuu es demasiado mandón"
726,4,118,"Meiko Akizuki","Aquí viene"
727,4,118,"Meiko Akizuki",Miki
728,4,118,"Miki Koishikawa",Meiko
729,4,118,"Yuu Matsuura","Buenos días"
730,4,118,"Meiko Akizuki","¿Qué tal?"
731,4,118,"Meiko Akizuki","Qué pasa Miki llegas tarde, eh"
732,4,119,"Ginta Suou",¡Miki!
733,4,119,"Miki Koishikawa","Meiko, toma esto"
734,4,119,"Meiko Akizuki","¡Espera Miki!"
735,4,120,"Meiko Akizuki","Ahora lo comprendo"
736,4,120,"Meiko Akizuki","Supongo que Ginta no puede soportar la idea de ver a Miki en los brazos de Yuu"
737,4,121,"Meiko Akizuki","Miki no te vayas"
738,4,121,"Meiko Akizuki","Recuerda que eres delegada escolar"
739,4,121,"Miki Koishikawa","Lo sé"
740,4,122,"Ginta Suou","Miki espérame tengo que hablar contigo"
741,4,122,"Miki Koishikawa","No quiero saber nada de ti, déjame en paz de una vez, ¡¿Entendido?!"
742,4,123,"Yuu Matsuura","¿Que pasá Ginta? ¿Os habeis peleado?"
743,4,123,"Ginta Suou","No es asunto tuyo"
744,4,124,"Meiko Akizuki","No pasa nada, no te preocupes será mejor que de momento les dejemos tranquilos"
745,4,125,"Yuu Matsuura","Oye Miki me voy"
746,4,125,"Miki Koishikawa","Que le pasa, haz lo que te dé la gana"
747,4,125,"Yuu Matsuura","Vamos prepárate que te vienes conmigo"
748,4,125,"Miki Koishikawa","¿Cómo?, ¿Que quieres?"
749,4,126,"Miki Koishikawa","Por qué no me dejas en paz"
750,4,126,"Yuu Matsuura","Venga agárrate fuerte"
751,4,126,"Yuu Matsuura","Ya vamos"
752,4,126,"Yuu Matsuura","Ya hemos llegado"
753,4,126,"Miki Koishikawa","No sabía que existiera alguien tan bestia"
754,4,126,"Miki Koishikawa","Que guay"
755,4,126,"Yuu Matsuura","Ahora prueba tú, Miki"
756,4,126,"Yuu Matsuura","Inténtalo con esta, toma"
757,4,126,"Miki Koishikawa","Está bien como quieras"
758,4,126,"Miki Koishikawa","Qué mala eres"
759,4,126,"Miki Koishikawa","Ha sido un fallo técnico ahora verás"
760,4,126,"Yuu Matsuura","Mira, tienes que tirarlas de lado"
761,4,126,"Miki Koishikawa","Yuu, ¿cómo es que conoces este sitio tan bonito?"
762,4,126,"Yuu Matsuura","Cuando vine a vivir aquí me recorrí toda la ciudad y lo descubrí"
763,4,126,"Yuu Matsuura","Cuando tengo algún problema o estoy preocupado, vengo aquí y me olvidó de todo"
764,4,126,"Miki Koishikawa","Como, ¿tú también te preocupas?"
765,4,126,"Miki Koishikawa","Me has traído aquí para alegrarme"
766,4,127,"Miki Koishikawa","Gracias Yuu"
767,4,127,"Yuu Matsuura","Este será nuestro secreto"
768,4,128,"Miki Koishikawa","Ginta me está mirando, ¿qué hago?"
769,4,128,"Miki Koishikawa","Yo me largo"
770,4,128,"Miki Koishikawa","Arimi Suzuki"
771,4,129,"Arimi Suzuki","Hola, ¿cómo estás?"
772,4,129,"Miki Koishikawa",Bien
773,4,129,"Arimi Suzuki","¿Está Yuu todavía en clase? "
774,4,129,"Arimi Suzuki","Tenía que haber salido hace ya un buen rato"
775,4,129,"Miki Koishikawa",Si
776,4,130,"Ginta Suou","Miki, espera un momento por favor"
777,4,130,"Miki Koishikawa","¿Qué tal, te he hecho esperar mucho?"
778,4,130,"Miki Koishikawa","Cuanto lo siento"
779,4,130,"Miki Koishikawa","¿Bueno nos vamos?"
780,4,130,"Arimi Suzuki","Como que qué haces, pero si yo estoy esperando a Yuu"
781,4,130,"Miki Koishikawa","Por favor, sígueme y no hables"
782,4,130,"Miki Koishikawa","Cuanto tiempo, ¿cómo va todo?"
783,4,131,"Ginta Suou","¿Quién es esa chica? ¿Qué está pasando aquí?"
784,4,131,"Ginta Suou","Esto es de Miki"
785,4,132,"Miki Koishikawa","Creo que no nos sigue"
786,4,133,"Arimi Suzuki","Me vas a romper el brazo"
787,4,133,"Arimi Suzuki","Vamos, suéltame"
